"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 28 04:22:36 UTC 2024","Thu Mar 28 04:22:37 UTC 2024","1242","","10. Client Portal - Account Dashboard","","","","6. Expand Ethics/Exclusions",""
"passed","Thu Mar 28 03:52:31 UTC 2024","Thu Mar 28 03:52:49 UTC 2024","17144","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Thu Mar 28 03:52:58 UTC 2024","Thu Mar 28 03:53:02 UTC 2024","4311","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Thu Mar 28 06:44:32 UTC 2024","Thu Mar 28 06:44:35 UTC 2024","2905","","22. Individual Onboarding for Interactive Brokers","","","","7.Complete Screen and Tilts",""
"passed","Thu Mar 28 03:03:58 UTC 2024","Thu Mar 28 03:04:17 UTC 2024","19144","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Thu Mar 28 03:04:23 UTC 2024","Thu Mar 28 03:04:30 UTC 2024","7170","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","6. Complete Super Fund Entry",""
"passed","Thu Mar 28 03:07:18 UTC 2024","Thu Mar 28 03:07:18 UTC 2024","181","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","8. Navigate to Insurance Quote",""
"passed","Thu Mar 28 03:22:56 UTC 2024","Thu Mar 28 03:22:56 UTC 2024","451","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","9. Review Final Review",""
"passed","Thu Mar 28 02:38:42 UTC 2024","Thu Mar 28 02:38:57 UTC 2024","14225","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","11. Scrape results from Review and navigate to Applicants",""
"passed","Thu Mar 28 06:43:53 UTC 2024","Thu Mar 28 06:44:00 UTC 2024","7156","","22. Individual Onboarding for Interactive Brokers","","","","2. Create new Individual account",""
"passed","Thu Mar 28 03:47:46 UTC 2024","Thu Mar 28 03:47:50 UTC 2024","3398","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Thu Mar 28 05:06:49 UTC 2024","Thu Mar 28 05:06:52 UTC 2024","2753","","13. Client Portal - Change Portfolio","","","","3. Direct user to “Build Your Portfolio”",""
"passed","Thu Mar 28 06:44:59 UTC 2024","Thu Mar 28 06:45:01 UTC 2024","2097","","22. Individual Onboarding for Interactive Brokers","","","","8. Check Review Page",""
"passed","Thu Mar 28 06:43:39 UTC 2024","Thu Mar 28 06:43:52 UTC 2024","12963","","22. Individual Onboarding for Interactive Brokers","","","","1. Log into user with IB access",""
